a	art.一(个，件，...)
a basin of	一盆…
a bbs	一个论坛
a bit	有点儿;有一点儿
a bit of	一点
a blanket of...	一片或一页的
a block of	一大块…
a body of	一片，一批；大量
a bottle of	一瓶…
a bowl of...	一碗…
a bridge to knowledge	通向知识的桥梁
a burst of laughter	爆发一阵笑声
a case in point	一个恰当的例子
a chemist shop	药店
a chemist's shop	药房
a close game	势均力敌的比赛
a couple of	一对，一双；几个
a cup of	一杯…;一(茶)杯
a dolphin trainer	训练海豚的人
a drop of	一滴…
a famous singer	著名歌唱家
a far cry	遥远的距离
a few	有一些，少数几个；
a few pointers	(口)一些点子
a flower show	花展
a full house	满座
a gas station	(汽油)加油站
a glass of	一杯;一(玻璃)杯
a good deal	许多，大量；…得多
a good deal of	大量的，许多的
a good few	相当多，不少
a good many	大量的，许多的
a good/great deal of	大量的，许多的
a great amount of	大量的
a great deal	大量;非常多地；大量(的)，很多
a great deal of	大量的，许多的
a great many	很多的；相当多的;许多，大量
a great number of	大量
a great/good deal of	大量的，许多的
a great/good many	许多，大量
a group of	一群(组)
a hard nut to crack	棘手的问题
a heap of	一大堆
a host of...	许多
a huge quantity of	大量
a jar with a lid	带盖的瓶子
a kind of	一种，某种
a large amount of	大量
a large number of	许多的
a last resort	最后一招
a little	少许，一点点;一点儿;一点；
a lot	许多，大量，很多
a lot of	大量;许多…;非常；大量的，很多的
a matter of	关于…的问题；大约
a moment ago	刚才；不久以前
a moment later	片刻之后
a monument with seagull	海鸥纪念碑
a number of	许多，若干；一些
a pack of	一包
a packet of	一包；一捆
a pair of	一双…；一对，一双
a pair of trousers	一条裤子
a party of	一伙，一批
a phone call	一个电话
a piece of	一片，一张；一张(片，块，…)
a pile of	一堆
a place of interest	名胜
a point of view	观点，着眼点
a private bathroom	专用的浴室
a relay race	接力赛跑
a row of	一排
a series of	一系列，一连串
a series of...	一系列的…
a set of...	一套…
a short cut	近路，捷径
a sleeping pill	安眠药
a slip of paper	一个纸条
a sort of	一种；可说是…的东西
a spectrum of	连续的，连串的
a sum of money	一笔钱
a teacher of english	一位英语教师
a telephone call	一个电话
a type of	一种类型的…
a variety of	种种，各种
a waste of	浪费；白费
a.b.	文学士
a.d.	公元；(缩)公元
a.m	 (缩)上午，午前；ad. 上午，由午夜至中午
a.m.	(缩)上午
aback	ad. 向后地,朝后地
abacus	n.算盘
abandon	vt.丢弃；放弃，抛弃
abandoned	a. 被抛弃的；无约束的
abandoned property	废弃财产
abandonment	n. 放弃,自暴自弃,放纵
abandonment charges	废弃费用
abandonment clause	委付条费
abase	v. 贬抑，使卑下
abasement	n. 贬抑,屈辱,谦卑
abash	v. 使局促不安；使羞愧，使窘迫
abashed	adj.(在人前) 感觉羞愧的,局促不安的
abate	v. 减轻，降低
abate a price	还价
abatement	n. 减少,减轻,缓和
abbe	n. 大修道院院长,僧侣,神父
abbess	n. 女修道院院长,女庵主持
abbey	n. 修道院
abbot	n. 修道院院长,方丈,住持
abbreviate	vt. 缩写,使...简略,缩短
abbreviation	n.节略，缩写，缩短
abc	asd
abc code	abc商业密码
abdicate	v. 让位，辞职，放弃
abdication	n. 逊位,弃权,辞职
abdomen	n. 腹，下腹（胸部到腿部的部份）
abdominal	a. 腹部的,腹式呼吸,开腹手术
abduct	v. 绑架，拐走
abe	艾贝(人名)
abeam	ad. 向着船舷
abed	ad. 在床上
aberrant	adj. 脱离常轨的；越轨的，异常的
